Player,Rk,PER,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
A.J. Hammons,1151,8.4,2016-17,2016-17,24,22,0,7.4,0.8,1.9,0.5,1.5,0.2,0.5,0.4,0.9,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2,0.405,0.375,0.5,0.45,0.472,0.464,C,DAL
A.J. Price,660,20.4,Oct-09,2014-15,23-28,261,25,15.1,2.1,5.5,1.3,2.9,0.8,2.6,0.8,1.1,0.3,1.2,1.4,2.2,0.5,0.0,0.9,0.9,5.8,0.38,0.439,0.316,0.742,0.486,0.456,G,"CLE,IND,MIN,PHO,WAS"
Aaron Brooks,480,21.1,Oct-09,2017-18,25-33,514,148,21.1,3.6,8.7,2.3,5.2,1.3,3.5,1.4,1.7,0.4,1.3,1.7,3.1,0.6,0.1,1.6,1.9,9.9,0.414,0.442,0.373,0.831,0.525,0.489,G,"CHI,DEN,HOU,IND,MIN,PHO,SAC"
Aaron Gordon,309,15.2,2014-15,2020-21,19-25,453,364,28.5,4.8,10.7,3.7,7.2,1.1,3.4,2.0,2.9,1.6,4.8,6.3,2.5,0.8,0.6,1.5,2.0,12.7,0.45,0.511,0.321,0.695,0.532,0.501,F,"DEN,ORL"
Aaron Gray,866,27.0,Oct-09,2013-14,25-29,201,68,12.6,1.3,2.5,1.3,2.4,0.0,0.0,0.5,0.9,1.4,2.6,4.0,0.6,0.3,0.3,0.8,2.1,3.0,0.519,0.52,0.0,0.555,0.534,0.519,C,"CHI,NOH,SAC,TOR"
Aaron Harrison,1344,4.5,2015-16,2017-18,21-23,35,3,9.8,0.7,2.6,0.3,1.1,0.3,1.6,0.5,0.9,0.2,1.0,1.2,0.5,0.4,0.1,0.2,1.1,2.3,0.261,0.324,0.218,0.613,0.374,0.326,G,"CHO,DAL"
Aaron Holiday,864,10.9,2018-19,2020-21,22-24,182,41,18.9,2.8,6.9,1.7,4.0,1.1,2.9,1.0,1.2,0.2,1.5,1.7,2.4,0.7,0.2,1.1,1.6,7.7,0.403,0.425,0.372,0.832,0.514,0.481,G,IND
Aaron Jackson,1379,2.4,2017-18,2017-18,31,1,0,35.0,3.0,9.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,0.333,0.4,0.25,0.5,0.405,0.389,G,HOU
Aaron Nesmith,1053,9.4,2020-21,2020-21,21,46,1,14.5,1.7,3.9,0.8,1.5,0.9,2.3,0.5,0.6,0.6,2.2,2.8,0.5,0.3,0.2,0.5,1.9,4.7,0.438,0.543,0.37,0.786,0.573,0.551,G-F,BOS
Abdel Nader,1042,9.6,2017-18,2020-21,24-27,188,8,13.0,1.7,4.0,1.1,2.2,0.6,1.8,0.7,0.9,0.3,1.6,1.9,0.5,0.4,0.3,0.6,1.2,4.7,0.432,0.491,0.36,0.725,0.543,0.513,F,"BOS,OKC,PHO"
Acie Law,780,22.5,Oct-09,Nov-10,25-26,77,1,12.5,1.5,3.4,1.4,2.7,0.1,0.7,1.1,1.5,0.2,0.8,1.0,1.4,0.6,0.0,0.8,1.0,4.3,0.444,0.502,0.212,0.752,0.528,0.466,G,"CHA,CHI,GSW,MEM"
Adam Mokoka,1281,6.2,2019-20,2020-21,21-22,25,0,6.7,0.8,1.9,0.5,0.9,0.3,1.0,0.1,0.2,0.3,0.3,0.6,0.4,0.2,0.0,0.3,0.9,1.9,0.404,0.545,0.28,0.4,0.478,0.479,G,CHI
Adam Morrison,1220,29.4,Oct-09,Oct-09,25,31,0,7.8,1.0,2.7,0.9,2.1,0.2,0.7,0.2,0.3,0.3,0.7,1.0,0.6,0.1,0.1,0.3,0.5,2.4,0.376,0.422,0.238,0.625,0.418,0.406,F,LAL
Admiral Schofield,1282,6.1,2019-20,2019-20,22,33,2,11.2,1.1,2.8,0.5,0.9,0.6,1.8,0.3,0.5,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3.0,0.38,0.516,0.311,0.667,0.502,0.484,G-F,WAS
Adonis Thomas,1232,7.3,2013-14,2013-14,20,6,1,6.2,1.0,2.3,0.8,1.5,0.2,0.8,0.2,0.2,0.0,0.5,0.5,0.5,0.0,0.0,0.2,1.0,2.3,0.429,0.556,0.2,1.0,0.485,0.464,F,"ORL,PHI"
