Player,Unnamed: 0,Rk,Pk,Tm,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WS,WS/48,BPM,VORP,DraftYr,MPG,PPG,RPG,APG,playerurl,DraftYear
A.J. Bramlett,540,39,39,CLE,Arizona,1.0,8.0,61.0,8.0,22.0,0.0,0.19,,,-0.2,-0.129,-15.9,-0.2,1999,7.6,1.0,2.8,0.0,https://www.sports-reference.com/cbb/players/a.j.-bramlett-1.html,1999
A.J. English,37,37,37,WAS,Virginia Union University,2.0,151.0,3108.0,1502.0,315.0,320.0,0.435,0.138,0.778,1.1,0.017,-3.9,-1.5,1990,20.6,9.9,2.1,2.1,https://www.sports-reference.com/cbb/players/a.j.-english-1.html,1990
A.J. Guyton,591,32,32,CHI,Indiana,3.0,80.0,1246.0,442.0,80.0,147.0,0.377,0.378,0.822,0.3,0.01,-2.9,-0.3,2000,15.6,5.5,1.0,1.8,https://www.sports-reference.com/cbb/players/a.j.-guyton-1.html,2000
A.J. Hammons,1554,46,46,DAL,Purdue,1.0,22.0,163.0,48.0,36.0,4.0,0.405,0.5,0.45,0.0,-0.001,-6.6,-0.2,2016,7.4,2.2,1.6,0.2,https://www.sports-reference.com/cbb/players/a.j.-hammons-1.html,2016
A.J. Price,1140,52,52,IND,UConn,6.0,261.0,3929.0,1523.0,377.0,567.0,0.38,0.316,0.742,2.2,0.058,-1.3,0.7,2009,15.1,5.8,1.4,2.2,https://www.sports-reference.com/cbb/players/a.j.-price-1.html,2009
Aaron Brooks,994,26,26,HOU,Oregon,10.0,645.0,13439.0,6259.0,1079.0,1925.0,0.413,0.37,0.837,5.5,0.069,-1.2,2.7,2007,20.8,9.7,1.7,3.0,https://www.sports-reference.com/cbb/players/aaron-brooks-1.html,2007
Aaron Gordon,1392,4,4,ORL,Arizona,8.0,506.0,14584.0,6530.0,3178.0,1264.0,0.457,0.322,0.699,27.5,0.09,0.0,7.2,2014,28.8,12.9,6.3,2.5,https://www.sports-reference.com/cbb/players/aaron-gordon-1.html,2014
Aaron Gray,1017,49,49,CHI,Pitt,7.0,318.0,3851.0,1066.0,1190.0,207.0,0.509,0.0,0.562,1.4,0.077,-3.6,-1.5,2007,12.1,3.4,3.7,0.7,https://www.sports-reference.com/cbb/players/aaron-gray-1.html,2007
Aaron Holiday,1651,23,23,IND,UCLA,4.0,226.0,4142.0,1669.0,385.0,521.0,0.415,0.371,0.827,4.1,0.047,-2.4,-0.4,2018,18.3,7.4,1.7,2.3,https://www.sports-reference.com/cbb/players/aaron-holiday-1.html,2018
Aaron McKie,233,17,17,POR,Temple,13.0,793.0,19156.0,5871.0,2587.0,2126.0,0.438,0.35,0.779,40.0,0.1,0.7,12.9,1994,24.2,7.4,3.3,2.7,https://www.sports-reference.com/cbb/players/aaron-mckie-1.html,1994
Aaron Nesmith,1762,14,14,BOS,Vanderbilt,2.0,87.0,1112.0,363.0,197.0,36.0,0.411,0.31,0.809,1.2,0.051,-4.2,-0.6,2020,12.8,4.2,2.3,0.4,https://www.sports-reference.com/cbb/players/aaron-nesmith-1.html,2020
Aaron White,1497,49,49,WAS,Iowa,,,,,,,,,,,,,,2015,,,,,https://www.sports-reference.com/cbb/players/aaron-white-1.html,2015
Aaron Wiggins,1863,55,55,OKC,Maryland,1.0,34.0,762.0,243.0,115.0,38.0,0.464,0.307,0.706,1.2,0.077,-2.9,-0.2,2021,22.4,7.1,3.4,1.1,https://www.sports-reference.com/cbb/players/aaron-wiggins-1.html,2021
Abdel Nader,1566,58,58,BOS,Iowa State,5.0,202.0,2583.0,926.0,376.0,110.0,0.428,0.357,0.718,2.8,0.052,-2.6,-0.4,2016,12.8,4.6,1.9,0.5,https://www.sports-reference.com/cbb/players/abdel-nader-1.html,2016
Abdul Shamsid-Deen,53,53,53,OKC,Providence,,,,,,,,,,,,,,1990,,,,,https://www.sports-reference.com/cbb/players/abdul-shamsid-deen-1.html,1990
Acie Earl,181,19,19,BOS,Iowa,4.0,193.0,2512.0,980.0,517.0,61.0,0.403,0.0,0.667,0.3,0.005,-5.9,-2.5,1993,13.0,5.1,2.7,0.3,https://www.sports-reference.com/cbb/players/acie-earl-1.html,1993
Acie Law,979,11,11,ATL,Texas A&M,4.0,188.0,2385.0,725.0,195.0,309.0,0.413,0.235,0.778,0.7,0.032,-3.9,-1.1,2007,12.7,3.9,1.0,1.6,https://www.sports-reference.com/cbb/players/acie-law-1.html,2007
Adam Haluska,1011,43,43,CHA,Iowa,,,,,,,,,,,,,,2007,,,,,https://www.sports-reference.com/cbb/players/adam-haluska-1.html,2007
Adam Keefe,118,10,10,ATL,Stanford,9.0,617.0,10334.0,3107.0,2556.0,427.0,0.502,0.071,0.714,24.9,0.116,-1.3,1.7,1992,16.7,5.0,4.1,0.7,https://www.sports-reference.com/cbb/players/adam-keefe-1.html,1992
Adam Morrison,911,3,3,CHA,Gonzaga,3.0,161.0,3278.0,1200.0,342.0,222.0,0.373,0.331,0.71,0.0,-0.021,-5.0,-2.4,2006,20.4,7.5,2.1,1.4,https://www.sports-reference.com/cbb/players/adam-morrison-1.html,2006
Admiral Schofield,1730,42,42,PHI,Tennessee,2.0,57.0,639.0,182.0,96.0,31.0,0.419,0.324,0.682,0.4,0.027,-5.1,-0.5,2019,11.2,3.2,1.7,0.5,https://www.sports-reference.com/cbb/players/admiral-schofield-1.html,2019
Adonal Foyle,394,8,8,GSW,Colgate,12.0,733.0,13060.0,2989.0,3461.0,344.0,0.477,0.0,0.499,18.7,0.069,-1.7,1.1,1997,17.8,4.1,4.7,0.5,https://www.sports-reference.com/cbb/players/adonal-foyle-1.html,1997
Adonis Jordan,204,42,42,OKC,Kansas,2.0,10.0,97.0,21.0,6.0,22.0,0.296,0.25,0.5,0.0,-0.015,-2.9,0.0,1993,9.7,2.1,0.6,2.2,https://www.sports-reference.com/cbb/players/adonis-jordan-1.html,1993
